method,label,method_type,view_index,camera_id,region,region_pixels,valid_points,coverage,xyz_span_x,xyz_span_y,xyz_span_z,xyz_span_norm,z_relief_p95_p5,neighbor_delta_median,neighbor_delta_p95,mean_l2_from_v25_baseline,confidence_mean,normal_available,notes
v42_prior_enabled,V42 prior-enabled VGGT,vggt_prior_enabled,1,01,full,14315,14315,1.0,0.10685543626546859,0.32029461145400995,0.208647003173828,0.3969134594837749,0.1935591876506806,0.0015394106740131974,0.0033344030380249023,0.0002386259293416515,4.270376682281494,True,prior-enabled prediction; this is the main point-map source used by V50R2
v42_prior_enabled,V42 prior-enabled VGGT,vggt_prior_enabled,1,01,upper,10223,10223,1.0,0.11070788182318209,0.1964323587715626,0.12308863162994388,0.256890478427807,0.11079127192497251,0.0014669107040390372,0.0032586688175797462,0.0002384352992521599,4.280306816101074,True,prior-enabled prediction; this is the main point-map source used by V50R2
v42_prior_enabled,V42 prior-enabled VGGT,vggt_prior_enabled,1,01,head_face,4842,4842,1.0,0.08388592323288324,0.13123693900182842,0.07111155748367315,0.1712215987629965,0.0604801267385483,0.0014244501944631338,0.0030022079590708017,0.0003061519528273493,4.133352279663086,True,prior-enabled prediction; this is the main point-map source used by V50R2
v42_prior_enabled,V42 prior-enabled VGGT,vggt_prior_enabled,1,01,left_hand,5906,5906,1.0,0.05457926075905561,0.20836597755551337,0.1463745594024658,0.2604242460830705,0.13498513400554657,0.0015362995909526944,0.0031640769448131323,0.0002196189307142049,4.57440185546875,True,prior-enabled prediction; this is the main point-map source used by V50R2
v42_prior_enabled,V42 prior-enabled VGGT,vggt_prior_enabled,1,01,right_hand,4752,4752,1.0,0.055669716447591736,0.20230128034949296,0.13581693887710578,0.24994232584007633,0.12132199406623845,0.0014957566745579243,0.003087905701249838,0.0001504786341683939,4.475837707519531,True,prior-enabled prediction; this is the main point-map source used by V50R2
v42_prior_enabled,V42 prior-enabled VGGT,vggt_prior_enabled,2,06,full,9293,9293,1.0,0.09317651636898518,0.3326431822776794,0.2326128506660461,0.4164637897986636,0.19595531225204466,0.001911209779791534,0.0046082353219389915,0.0002649896778166294,3.569263219833374,True,prior-enabled prediction; this is the main point-map source used by V50R2
v42_prior_enabled,V42 prior-enabled VGGT,vggt_prior_enabled,2,06,upper,6435,6435,1.0,0.09758028186857698,0.19420331627130505,0.12310827493667598,0.2497848810841194,0.10246453285217272,0.0017949433531612158,0.004675763193517923,0.0003046244091819972,3.5209600925445557,True,prior-enabled prediction; this is the main point-map source used by V50R2
v42_prior_enabled,V42 prior-enabled VGGT,vggt_prior_enabled,2,06,head_face,3269,3269,1.0,0.08159426189959049,0.12439010083675384,0.09438503265380838,0.17617904288018263,0.06278352737426751,0.0016727050533518195,0.004862459376454353,0.0003587892570067197,3.5039429664611816,True,prior-enabled prediction; this is the main point-map source used by V50R2
v42_prior_enabled,V42 prior-enabled VGGT,vggt_prior_enabled,2,06,left_hand,2768,2768,1.0,0.057779337354004354,0.20271559983491896,0.1267388868331908,0.24595693053300038,0.11024606823921201,0.0018327783327549696,0.004269947297871113,0.00028095769812352955,3.5518157482147217,True,prior-enabled prediction; this is the main point-map source used by V50R2
v42_prior_enabled,V42 prior-enabled VGGT,vggt_prior_enabled,2,06,right_hand,3673,3673,1.0,0.07380212377058341,0.22552961379289627,0.14329350709915167,0.2772064020678384,0.13392326831817625,0.0019798330031335354,0.004636785481125116,0.00025132804876193404,3.8426215648651123,True,prior-enabled prediction; this is the main point-map source used by V50R2
v42_prior_enabled,V42 prior-enabled VGGT,vggt_prior_enabled,3,11,full,12067,12067,1.0,0.06205470219254495,0.3296463567018509,0.23346018314361572,0.4086822282219524,0.1995438158512115,0.0015349381137639284,0.005041958764195442,0.00032066061976365745,2.648773431777954,True,prior-enabled prediction; this is the main point-map source used by V50R2
v42_prior_enabled,V42 prior-enabled VGGT,vggt_prior_enabled,3,11,upper,8573,8573,1.0,0.06453557334840296,0.2143072208762169,0.1679749631881713,0.27983569001319725,0.1388099074363709,0.0015526626957580447,0.005358579568564892,0.0003427454794291407,2.4749155044555664,True,prior-enabled prediction; this is the main point-map source used by V50R2
v42_prior_enabled,V42 prior-enabled VGGT,vggt_prior_enabled,3,11,head_face,4294,4294,1.0,0.05909754734486346,0.1450273828301579,0.16451077580451967,0.22713268639398534,0.13195994794368737,0.0016271411441266537,0.005040584597736597,0.00035634118830785155,2.3653652667999268,True,prior-enabled prediction; this is the main point-map source used by V50R2
v42_prior_enabled,V42 prior-enabled VGGT,vggt_prior_enabled,3,11,left_hand,1113,1113,1.0,0.0767547482997179,0.16480471611022948,0.09338733911514285,0.20438463970106235,0.08357218503952013,0.0030714694876223803,0.007296008989214897,0.0003681745147332549,1.498520851135254,True,prior-enabled prediction; this is the main point-map source used by V50R2
v42_prior_enabled,V42 prior-enabled VGGT,vggt_prior_enabled,3,11,right_hand,6831,6831,1.0,0.05760823562741278,0.21330309510231016,0.1552130341529846,0.2700148239695448,0.13714781403541565,0.0014537711394950747,0.004647357389330864,0.00032040412770584226,2.928713321685791,True,prior-enabled prediction; this is the main point-map source used by V50R2
v42_prior_enabled,V42 prior-enabled VGGT,vggt_prior_enabled,4,16,full,11274,11274,1.0,0.07845547955483198,0.3292573592066765,0.2431544435024261,0.4167610277592035,0.20673094093799593,0.0017511423211544752,0.004742625635117292,0.0002795410400722176,2.2929270267486572,True,prior-enabled prediction; this is the main point-map source used by V50R2
