case,config,source_config,human_points,environment_points,human_ratio,same_point_budget,same_environment_budget,mask_inside_ratio,edge_alignment,rgb_reprojection_residual,projection_score,head_hair_projection_score,hand_arm_projection_score,clothing_projection_score,local_projection_score,fair_score_v2,config_name_used_for_bonus,detail_bonus_used,control_penalty_used,prediction_npz,ply
0012_11_frame001,real_vggt_baseline_only,real_vggt_baseline_only,60000,24000,0.7142857142857143,True,True,0.8429,0.07328333705663681,0.038106098771095276,0.6453332934610844,0.6159304031682015,0.6002226139366627,0.6631712626701401,0.626441426591668,0.6725975321670347,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0012_11_frame001\real_vggt_baseline_only\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0012_11_frame001\real_vggt_baseline_only\full_scene_rgb_pointcloud.ply
0012_11_frame001,random_smpl_feature,random_smpl_feature,60000,24000,0.7142857142857143,True,True,0.72425,0.04458333179354668,0.04937039315700531,0.5837362894541025,0.5232670561510324,0.4572323582559824,0.622196666197623,0.5342320268682127,0.6133286580507754,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0012_11_frame001\random_smpl_feature\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0012_11_frame001\random_smpl_feature\full_scene_rgb_pointcloud.ply
0012_11_frame001,shuffled_smpl_feature,shuffled_smpl_feature,60000,24000,0.7142857142857143,True,True,0.7785666666666666,0.05303333327174187,0.0491827055811882,0.6091368424187898,0.5632622858786582,0.515384654468298,0.6371652035342108,0.5719373812937224,0.637632453162678,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0012_11_frame001\shuffled_smpl_feature\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0012_11_frame001\shuffled_smpl_feature\full_scene_rgb_pointcloud.ply
0012_11_frame001,same_topology_no_semantic,same_topology_no_semantic,60000,24000,0.7142857142857143,True,True,0.9137,0.05271666496992111,0.05489440634846687,0.6641985657134055,0.6201348384380341,0.6616871222138405,0.6837421650094371,0.6551880418871039,0.6902634607285703,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0012_11_frame001\same_topology_no_semantic\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0012_11_frame001\same_topology_no_semantic\full_scene_rgb_pointcloud.ply
0012_11_frame001,posthoc_surfel_only,posthoc_surfel_only,60000,24000,0.7142857142857143,True,True,0.8313166666666667,0.04623333364725113,0.05117294564843178,0.6286945753126145,0.604701693354845,0.5419754869878293,0.6372151120295448,0.594630764124073,0.6554544430167073,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0012_11_frame001\posthoc_surfel_only\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0012_11_frame001\posthoc_surfel_only\full_scene_rgb_pointcloud.ply
0012_11_frame001,tiny_synthetic_token_control,tiny_synthetic_token_control,60000,24000,0.7142857142857143,True,True,0.7610666666666667,0.048383332788944244,0.033473946154117584,0.6047902949135304,0.5542533156806231,0.4983395606338977,0.6388033601764709,0.5637987454969972,0.633510666457134,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0012_11_frame001\tiny_synthetic_token_control\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0012_11_frame001\tiny_synthetic_token_control\full_scene_rgb_pointcloud.ply
0012_11_frame001,source_label_only_control,source_label_only_control,60000,24000,0.7142857142857143,True,True,0.7566,0.04729999974370003,0.03340786322951317,0.6026077982188462,0.5490322679316997,0.49337581186890606,0.6393074444111317,0.5605718414039125,0.6314227681061294,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0012_11_frame001\source_label_only_control\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0012_11_frame001\source_label_only_control\full_scene_rgb_pointcloud.ply
0012_11_frame001,local_detail_no_smpl,local_detail_no_smpl,60000,24000,0.7142857142857143,True,True,0.7718333333333334,0.06076666712760925,0.04930083081126213,0.6085957675111294,0.5840903238940238,0.4915485976278782,0.6308422076216629,0.5688270430478549,0.6368925047280781,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0012_11_frame001\local_detail_no_smpl\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0012_11_frame001\local_detail_no_smpl\full_scene_rgb_pointcloud.ply
0012_11_frame001,smpl_no_local_detail,smpl_no_local_detail,60000,24000,0.7142857142857143,True,True,0.8307666666666667,0.0627666637301445,0.04934987053275108,0.633934035369873,0.6038216015708446,0.5769010394215583,0.6498339560491424,0.6101855323471818,0.661536314000444,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0012_11_frame001\smpl_no_local_detail\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0012_11_frame001\smpl_no_local_detail\full_scene_rgb_pointcloud.ply
0012_11_frame001,scaffold_only_no_vggt,scaffold_only_no_vggt,60000,24000,0.7142857142857143,True,True,0.89355,0.03696666657924652,0.04886513575911522,0.6526987619612217,0.6185864829853811,0.6137683128297329,0.6739420081044397,0.6354322679731846,0.6789547175630464,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0012_11_frame001\scaffold_only_no_vggt\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0012_11_frame001\scaffold_only_no_vggt\full_scene_rgb_pointcloud.ply
