path,category,exists,size_bytes,sha256,json_readable,csv_readable,csv_columns,png_open,image_size,py_readable,mentions_raw_points_xy,raw_points_xy_main_risk,readable,npz_readable,npz_keys,zip_clean,zip_entry_count
D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\current_v895_0021_03\real_vggt_baseline_only\predictions.npz,training_input,True,1045596,682aad17d4ba2429774a3734cd775552cf9f76ae26cdee9a5baa5ba51b8aadf4,,,,,,,,,,True,human_points;human_rgb;environment_points;environment_rgb;full_scene_points;full_scene_rgb;projection_uv_518;environment_uv_518;body_part_id;source_label;config;case_id;route;copied_from_v190;copied_from_v740;teacher_points_used_at_inference;raw_kinect_depth_used_at_inference,,
D:\vggt\vggt-canonical-surfel-adapter\output\V5360000000000000000_geometry_part_binding_repair\current_v895_0021_03\mentor_view_geometry_part_graph.npz,training_input,True,683457,6e78716da20ca6844e0458c3d7086168b33528450844400400922109cb59f75b,,,,,,,,,,True,case_id;mentor_points;mentor_rgb;environment_points;environment_rgb;raw_body_part_id;geometry_body_part_id;mentor_to_smpl_index;mentor_to_smpl_norm_distance;mentor_smpl_confidence;mentor_weak_region_score;no_change_mask;head_hair_contour_mask;shoulder_neck_mask;hand_arm_endpoint_mask;clothing_torso_boundary_mask;leg_foot_morphology_mask;geometry_thresholds_json;teacher_points_used_at_inference;raw_kinect_depth_used_at_inference,,
D:\vggt\vggt-canonical-surfel-adapter\output\V161000000000000_repaired_detail_regions\current_v895_0021_03\repaired_detail_regions_world_rgb.npz,training_input,True,984321,d4e5c1ae097c1c420ab34eb7b273b42d19c74e32a59144977f7cc3ddf29e9481,,,,,,,,,,True,world_points;rgb;confidence;body_part_id;student_points;student_rgb;student_active_mask;artifact_path;prediction_path;mask_head_hair;mask_face_head_silhouette;mask_shoulder_neck;mask_torso_clothing_boundary;mask_arms_hands;mask_feet_leg_boundary;mask_mask_boundary_band;mask_vggt_high_confidence_detail_band;mask_body_part_0;mask_body_part_1;mask_body_part_2,,
D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\current_v895_0021_03\posthoc_surfel_only\predictions.npz,training_input,True,1359387,e44dc3d2168b59620fe1f590281d3f183121bda816c6126f578a9883156601b5,,,,,,,,,,True,human_points;human_rgb;environment_points;environment_rgb;full_scene_points;full_scene_rgb;projection_uv_518;environment_uv_518;body_part_id;source_label;config;case_id;route;copied_from_v190;copied_from_v740;teacher_points_used_at_inference;raw_kinect_depth_used_at_inference,,
D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\current_v895_0021_03\same_topology_no_semantic\predictions.npz,training_input,True,1235605,fc6ba6865f183885e9e3abcd6181ef91ff2dc7c37ebdffcf26a61d8fce807ced,,,,,,,,,,True,human_points;human_rgb;environment_points;environment_rgb;full_scene_points;full_scene_rgb;projection_uv_518;environment_uv_518;body_part_id;source_label;config;case_id;route;copied_from_v190;copied_from_v740;teacher_points_used_at_inference;raw_kinect_depth_used_at_inference,,
D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\current_v895_0021_03\tiny_synthetic_token_control\predictions.npz,training_input,True,1037961,e6bad5873cebdeda218d04b8687c73eeb1bebbb020809a4e0c70f2779f3b971e,,,,,,,,,,True,human_points;human_rgb;environment_points;environment_rgb;full_scene_points;full_scene_rgb;projection_uv_518;environment_uv_518;body_part_id;source_label;config;case_id;route;copied_from_v190;copied_from_v740;teacher_points_used_at_inference;raw_kinect_depth_used_at_inference,,
D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\current_v895_0021_03\shuffled_smpl_feature\predictions.npz,training_input,True,1443510,cb0652acbc4fae957cac5f2a90ac07df95babbc9c4820700bd34f6d662dc6c16,,,,,,,,,,True,human_points;human_rgb;environment_points;environment_rgb;full_scene_points;full_scene_rgb;projection_uv_518;environment_uv_518;body_part_id;source_label;config;case_id;route;copied_from_v190;copied_from_v740;teacher_points_used_at_inference;raw_kinect_depth_used_at_inference,,
D:\vggt\vggt-canonical-surfel-adapter\archive\V2800000000000000000_core_bundle.zip,bundle,True,26120,1b97af2303fbfe879c0bca80e7a12f3c5c247382d8f146ae8effdd06bede6043,,,,,,,,,,,,True,3
D:\vggt\vggt-canonical-surfel-adapter\archive\V2800000000000000000_predictions_bundle.zip,bundle,True,62337683,eedeb42dd19ccc32a54b1060907ccd4cb7d42a70f4dd71ca821b0816857d3706,,,,,,,,,,,,True,72
D:\vggt\vggt-canonical-surfel-adapter\archive\V2800000000000000000_reports_bundle.zip,bundle,True,2839,7db871e18f526aad8d565cf0f5a9f997a92b8decde7d6a0ba263f49cbc2c17a2,,,,,,,,,,,,True,3
D:\vggt\vggt-canonical-surfel-adapter\archive\V2800000000000000000_viewer_bundle.zip,bundle,True,3772608,d9f5cec496b0443b808307131b82bade303fdd8f62fc5eb105bc6fac7c0d3deb,,,,,,,,,,,,True,8
D:\vggt\vggt-canonical-surfel-adapter\archive\V2800000000000000000_visuals_bundle.zip,bundle,True,2614739,c0ee1984a6f52eef20dc35b10e80a2769a8ad1aecf327904180eed33410fa44e,,,,,,,,,,,,True,4
D:\vggt\vggt-canonical-surfel-adapter\archive\V290000000000000000_controls_bundle.zip,bundle,True,749217,18f142c39c32499aa57e88958ee5e0d1698c6f085c698870b68db5323573f86d,,,,,,,,,,,,True,3
D:\vggt\vggt-canonical-surfel-adapter\archive\V290000000000000000_core_bundle.zip,bundle,True,28740,3874722ded629612f017208d079c65592d45b65833a3d9e06cad1ddf5ecd9a96,,,,,,,,,,,,True,2
