case,config,part_a,part_b,part_a_name,part_b_name,is_adjacent,mean_bbox_overlap,volume_bbox_overlap,thin_axis_overlap,normalized_center_distance,normalized_center_distance_xy,invalid_overlap_penalty,pair_separation_or_contact_score
0012_11_frame001,front_back_occupancy_true,0,2,head_hair,left_arm_endpoint,False,0.5818569903464864,0.0,0.7455709710394592,0.32761349842658777,0.2521191227809009,0.0,0.45501874781470525
0012_11_frame001,front_back_occupancy_true,0,3,head_hair,right_arm_endpoint,False,0.7894542524472632,0.7737593573176562,1.0,0.24826733758596814,0.1220465257232522,0.65,0.344815746647178
0012_11_frame001,front_back_occupancy_true,0,4,head_hair,left_leg,False,0.9639095426696175,0.9625225282440872,1.0,0.2476261864499854,0.16010825714837698,1.0,0.3439252589583131
0012_11_frame001,front_back_occupancy_true,0,5,head_hair,right_leg,False,1.0,1.0,1.0,0.24425896843811234,0.2154635234994297,1.0,0.33924856727515607
0012_11_frame001,front_back_occupancy_true,0,6,head_hair,left_foot_endpoint,False,0.9126481291010683,0.9036658658002577,1.0,0.32564877355965643,0.12519739324207535,1.0,0.45228996327730064
0012_11_frame001,front_back_occupancy_true,0,7,head_hair,right_foot_endpoint,False,0.9654337144251066,0.9649463907113138,1.0,0.44429851408357096,0.3933167717447982,1.0,0.6170812695605152
0012_11_frame001,front_back_occupancy_true,1,2,torso_shoulder,left_arm_endpoint,True,0.8367095655722375,0.8215126550600242,0.9781568188225912,0.17205139554982918,0.0701317798060372,0.0,0.7270348853128864
0012_11_frame001,front_back_occupancy_true,1,3,torso_shoulder,right_arm_endpoint,True,0.8085640357454946,0.7824832402045361,1.0,0.21911947354330946,0.14586715207537893,0.0,0.5152863520554286
0012_11_frame001,front_back_occupancy_true,1,4,torso_shoulder,left_leg,True,0.7799361539672655,0.7624289779377642,1.0,0.5075575123211793,0.37752460878255556,0.0,0.1797800806898247
0012_11_frame001,front_back_occupancy_true,1,5,torso_shoulder,right_leg,True,0.7858353491320388,0.7427604572994162,1.0,0.5204351277443204,0.43668140684158424,0.0,0.13739222524178948
